"filename", "language", "TypeScript", "Markdown", "TypeScript React", "SCSS", "comment", "blank", "total"
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\OrbGraphics.ts", "TypeScript", 304, 0, 0, 0, 19, 69, 392
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\OrbInfoView.scss", "SCSS", 0, 0, 0, 94, 0, 19, 113
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\OrbInfoView.tsx", "TypeScript React", 0, 0, 122, 0, 11, 30, 163
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\OrbView.scss", "SCSS", 0, 0, 0, 38, 0, 7, 45
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\OrbView.tsx", "TypeScript React", 0, 0, 49, 0, 57, 21, 127
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\Overlay.scss", "SCSS", 0, 0, 0, 30, 0, 3, 33
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\Overlay.tsx", "TypeScript React", 0, 0, 19, 0, 0, 2, 21
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SectionView.scss", "SCSS", 0, 0, 0, 20, 0, 2, 22
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SectionView.tsx", "TypeScript React", 0, 0, 28, 0, 0, 4, 32
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ShopView.scss", "SCSS", 0, 0, 0, 38, 0, 6, 44
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ShopView.tsx", "TypeScript React", 0, 0, 87, 0, 0, 9, 96
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SimpleTabWindow.scss", "SCSS", 0, 0, 0, 43, 0, 5, 48
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SimpleTabWindow.tsx", "TypeScript React", 0, 0, 27, 0, 0, 4, 31
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SpaceMinerI18nResource.ts", "TypeScript", 158, 0, 0, 0, 1, 20, 179
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SpaceMinerUI.scss", "SCSS", 0, 0, 0, 127, 0, 18, 145
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SpaceMinerUI.tsx", "TypeScript React", 0, 0, 163, 0, 37, 33, 233
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\SpaceMinerUICommonProps.ts", "TypeScript", 18, 0, 0, 0, 0, 3, 21
